swhid,url,commits,latest_commit,age,devCount,devs,c-index,size,source
swh:1:ori:006762b49f6052c9648a93fabcddeb68c90d2382,https://github.com/voila-dashboards/voila,585,2020-03-23 11:19:43,579,39,24704;128133;111111;94481;127897;4123;100893;45599;101792;3745;88228;16936;7467;131115;36779;99761;58934;85687;41654;128697;85302;48826;87613;106184;94796;95438;71632;129620;56916;101977;93793;69733;43240;54635;35051;100333;128112;39667;122751,0.8284900284900285,12810053,GitHub
swh:1:ori:0089824c1a5fc9ae7a9993bf7b7db33474472980,deb://Debian/packages/imediff2,2,2019-02-11 08:19:01,851,2,90977;99980,0.0,74798,Debian
swh:1:ori:008dc9bd6c1dc2c8f04176e718571c0e0a644d36,deb://Debian/packages/tryton-modules-account-fr,3,2020-04-05 09:11:55,1216,1,110725,0.0,790913,Debian
swh:1:ori:00a082063e1572f77e21b9dedef30635e60a99e8,https://github.com/qutebrowser/qutebrowser,16859,2018-10-11 12:29:10,1761,317,77829;53268;75805;127009;110627;112675;16425;53291;86060;129070;36916;84025;122946;43076;4166;55371;30814;96353;45180;126;100480;34947;131219;104605;98464;88226;24746;80051;104629;55492;61640;49355;88276;116952;61659;32991;112870;67815;4331;104688;24825;14586;16638;98583;123166;8479;33070;37166;22833;84276;104763;127299;51538;100698;76128;20863;110975;78216;127368;127373;8593;45459;88468;35230;59809;22946;133543;43439;49588;57781;76214;74176;22983;59852;121293;43479;70111;10728;111083;117244;66047;29192;45579;98842;86558;96802;131631;72246;49719;107077;123461;21067;84560;23124;45660;84578;62050;90722;12920;21118;35458;21132;2716;43681;101027;76476;119484;92862;72380;21194;119500;60118;109284;33526;105220;62213;66317;125712;51987;41748;129815;125720;90908;56101;33583;68403;90939;103232;127815;74570;6990;127834;33634;33639;93032;125802;117610;58227;82811;84873;97165;19356;91043;52137;7089;70581;50114;134084;3022;86997;17379;99311;113652;17405;134154;119823;87058;119829;95255;46107;125985;87074;52269;103483;91214;128084;3165;42079;78943;113764;124006;132198;103527;29808;52337;44149;97398;66680;93304;111763;87192;122011;134307;25784;15545;29883;21692;124105;81099;11470;105684;105691;50410;113899;101613;7414;120057;32000;103684;46354;44308;83224;54556;134432;97572;83240;95535;87351;5432;48439;5434;91483;95584;60770;44407;54666;77196;15760;36256;97715;107957;112064;93637;56777;87505;85459;126426;99802;99813;91626;22000;60922;34300;1540;1541;81424;26135;103971;20004;83493;91686;120359;17979;114247;3657;83530;30283;30299;93807;89719;85625;34429;124543;91778;40598;83610;32417;73389;87728;87730;52915;71353;110276;118474;11980;91864;110303;108255;132833;42722;52964;130788;104167;104169;128749;42735;20220;85757;75531;14094;104207;134941;48931;28452;89891;110376;16186;46907;16200;77640;132944;94032;42842;116579;10083;87914;12140;24445;92030;94079;38789;44940;94096;40866;77737;22448;98230;14263;22454;112586;85970;96220;6113;10209;85985;75769;112638,0.939615137839303,13227049,GitHub
swh:1:ori:0119a2b373999b47daace7c1e56187500a9559ba,https://github.com/neozhaoliang/pywonderland,203,2019-01-16 13:49:38,404,4,14256;7594;88868;40909,0.7007389162561577,847447,GitHub
swh:1:ori:012c940ae34a05ab7b0e2828190ae21c9947ae1d,https://github.com/UKPLab/sentence-transformers,469,2020-11-11 21:58:13,475,33,21764;128005;54790;28938;71051;133133;67981;95120;123155;129812;4891;119844;103205;69031;11694;98479;99247;104572;14009;43972;131782;34764;130892;99789;6864;99153;42460;61148;35173;77678;40689;10233;43004,0.8708406021838857,4763217,GitHub
swh:1:ori:01350e69269c647f9c008d5b066e856cbebec649,https://pypi.org/project/python-jenkins/,32,2019-12-22 14:26:53,2313,3,131599;29949;44743,0.2708333333333335,300672,PyPI
swh:1:ori:014718b4d7f6f3a48b821ece2f51873a7a31f2f2,deb://Debian/packages/python-misaka,2,2015-10-23 23:10:38,558,1,49404,0.0,571991,Debian
swh:1:ori:015d61f6f1bace9432991a39ed5b06ade7bdf79d,deb://Debian/packages/python3-proselint,3,2018-07-22 16:59:02,618,1,134919,0.0,398941,Debian
swh:1:ori:0182a0876a85a5c2ab47d4b6d60d362f09712b53,deb://Debian/packages/python-pygraphviz,3,2020-01-13 18:05:01,1099,1,132591,0.0,414791,Debian
swh:1:ori:018438a0237516842ca1d683f6566e66dabe0722,https://github.com/avinashpaliwal/Super-SloMo,52,2019-12-03 16:32:38,342,10,71043;38500;36101;90727;37000;117707;112685;59570;25461;35766,0.5807692307692307,28740553,GitHub
swh:1:ori:0202aab0d4280a2500b35f8bf05ab1829f3d190f,deb://Debian/packages/veusz,2,2019-02-08 13:53:37,616,2,33849;69567,0.0,7617860,Debian
swh:1:ori:020ac8f842f9bc1ea008e16f08daf063028de402,https://github.com/matplotlib/matplotlib,15099,2015-08-05 21:56:04,4468,504,24576;112641;47108;79877;28679;124940;49165;102419;18451;2070;57368;67609;79897;2074;36896;118828;61485;102446;4148;73785;81979;36933;112719;63584;69733;14439;112744;114802;4211;110714;122;47228;77949;10364;112771;90244;120965;63622;131209;10378;118926;125073;77975;47256;75928;80038;88230;32944;88248;75962;82110;92354;196;10440;108747;32973;116941;90319;125136;10451;114901;69854;104674;121062;47336;8425;61673;53509;67849;80156;96542;92462;117040;4401;51506;127282;53554;71996;24892;33088;63815;121161;86348;35167;45407;82275;94567;94583;84343;117111;18812;57727;24961;49544;127369;80266;102794;45450;12694;45486;25008;72113;78260;84406;113091;12746;61903;74198;23001;131546;8672;98784;59873;96748;78330;51714;49669;70151;23056;66070;113175;25115;100893;107043;113188;27172;53798;4655;127538;23093;80440;125498;14912;80454;113224;8780;55887;68178;59988;45658;125532;21086;109153;80484;19058;78451;96892;66174;33407;8833;88710;19080;29323;10895;82581;47766;39576;58011;15006;70303;98978;131747;25253;53927;94889;31410;129717;4791;58047;129728;62144;103107;58057;78539;101068;127691;105163;96977;70354;45783;113370;8924;17117;4830;43742;43745;29414;35558;99046;747;29432;31485;127741;70399;86784;123650;13062;119560;111370;15123;101139;117534;52011;127795;121655;97087;107327;27458;133955;31555;113476;68428;15180;107342;88919;27479;11100;54108;105310;9055;47964;129892;21348;111462;60261;107368;76654;35695;90993;111477;93046;9079;9080;68473;107388;134026;93070;129936;58257;91030;37801;101290;60336;39860;62390;39879;5071;60368;115675;43997;66525;15328;80866;29670;134121;80882;109555;111607;74748;125948;27644;76804;85002;111630;64532;29719;33820;33828;42025;80939;113707;109616;23614;48193;132162;35907;25676;56412;109661;126046;91230;44128;62557;78970;62589;17551;27807;130210;83107;109732;115879;117928;115882;79024;46260;33972;50359;15546;17596;83138;101570;87240;54473;1239;23769;126175;23775;48354;5353;74987;107764;89335;9469;46339;48392;115979;40208;66836;128279;113945;25884;128285;122143;15657;56631;122172;93501;15677;128320;5442;81220;83270;5450;134475;25934;23887;128343;36184;75098;116069;111981;130414;124277;116094;48517;30090;87442;130452;114071;95650;17832;52651;124335;44464;124337;58802;110006;46521;56763;67005;99775;67008;122307;32197;62919;120264;79306;44490;116172;79308;134613;60893;132575;46563;42472;132591;58866;103925;34294;128505;52729;97787;52732;75269;50698;46605;40465;103957;67094;60955;132642;118310;20007;97833;69162;75314;56886;104011;77389;46672;108113;97887;3691;124525;116345;7802;7805;126595;132747;128652;7822;3732;1688;36509;11933;59043;118444;128685;97971;30387;89781;71352;120508;54974;1730;108227;106181;11979;54991;52950;52952;34523;24288;110306;128740;34538;126699;3820;69357;120563;85750;1785;22266;75517;73470;38660;126727;102170;89883;28451;81699;38693;36646;28457;69418;118572;106285;120622;83759;124925;120635;32578;18245;5961;85837;114521;77662;16223;18271;59233;14178;98161;40819;96115;98169;92027;51068;128894;40847;85912;104345;12190;75679;49062;38823;49065;77741;122800;59313;133044;38844;114631;65528;75744;94181;55271;55273;114669;34797;47094;51192;14329;71677;108543,0.8987480249401569,78454095,GitHub
swh:1:ori:0259ab09d7832d244383f26fab074d04bfba11cd,deb://Debian/packages/python-vobject,3,2017-07-03 20:26:51,2224,2,54393;129090,0.16666666666666674,673064,Debian
swh:1:ori:0296518ab455c927859fe26b563140a4a35fa829,https://pypi.org/project/scikit-learn/,42,2020-03-04 11:52:13,3086,2,101793;15779,0.4285714285714286,17358136,PyPI
swh:1:ori:0299628a7da6d9aee24f6854f0dbe351ed83d662,https://pypi.org/project/azure-mgmt-storage/,40,2020-05-09 11:05:45,1719,3,35934;64021;72910,0.31666666666666665,3230569,PyPI
swh:1:ori:02bec72e0d34548ad845090c7b8238e0a8d174cf,https://github.com/ultralytics/yolov3,2282,2020-03-27 02:50:29,578,27,110856;102154;131344;54548;22295;104347;96801;57634;22817;124969;107962;67261;104767;47175;9040;104919;6362;68955;94172;10974;111968;8931;41316;104292;57707;2937;122876,0.9474470087967022,1977595,GitHub
swh:1:ori:02cf3246596ef79531e460a17ca021c198b838b1,https://github.com/InsaneLife/ChineseNLPCorpus,27,2019-12-22 10:54:56,587,6,76905;7306;18409;17036;100333;17884,0.5123456790123455,24083222,GitHub
swh:1:ori:02d7170894ad53123ef375e965666e44fcba55e3,https://github.com/Bitmessage/PyBitmessage,1478,2015-07-28 15:44:37,988,109,6669;50701;73234;96279;102935;132651;79406;26675;104505;73788;123455;73282;103002;103514;127585;64105;67177;58987;44656;63089;118391;84089;46731;62609;64147;52888;40089;114843;1699;50345;120491;89270;127159;129206;79544;87229;71358;47296;2778;20710;8423;4328;95977;111344;91378;98547;113398;19703;10490;69371;67837;39681;66313;74506;74004;14109;132382;13600;2857;98094;121647;35637;8503;39226;116540;45373;1343;1345;29512;125777;103252;15706;1883;19804;4445;108382;74085;55142;22892;101237;129916;103296;119173;44434;121240;101791;928;37795;74150;11687;51627;113077;953;47037;65986;69069;8141;34772;27095;96732;81885;6622;4066;123363;51683;104930;47079;114170;38395,0.8162282280791051,2924548,GitHub
swh:1:ori:02fe4fc37f4fa5f89698ae066bd6dcc0bc6dcc98,https://github.com/python-openxml/python-docx,842,2015-02-22 01:08:02,572,8,41181;117412;5289;36782;66194;46071;77080;25053,0.8542161520190024,51069993,GitHub
swh:1:ori:030b62d2b200ade4e00efca20f6a954d23b8f0aa,https://pypi.org/project/structlog/,20,2019-10-16 10:34:26,2224,2,35934;83894,0.3999999999999999,380184,PyPI
swh:1:ori:031077fdb0407b163e40d4bbe3b167c53a3c4338,https://github.com/toml-lang/toml,726,2020-05-07 18:43:18,2629,187,22528;102913;122882;135176;29193;114698;51726;68113;92695;28184;53786;114718;88607;62496;113699;6692;104486;121383;125478;7720;54319;119857;22066;115761;132662;20536;112697;105530;40509;110654;80958;93757;52802;6725;64582;23627;31826;26708;33888;75361;84066;104036;91750;65126;70762;12396;96365;25198;86640;11890;30322;6260;41592;35449;87674;18562;67716;11910;9352;58506;127631;17043;87701;76438;99478;132248;76443;109216;6818;91299;56996;20133;92839;112301;93871;58035;181;33975;20153;83641;55486;109759;39105;2756;80585;61136;113360;125648;120020;124119;127705;30438;13032;65256;127724;104174;27377;133362;94963;40180;127217;33015;60154;44805;135436;126735;78095;81683;8979;108309;61206;24344;48922;23331;27430;105254;116521;19757;133937;78647;62271;43840;107329;116543;4421;16714;51021;19790;33625;108895;94053;103271;92008;50025;59241;129387;62311;82288;117104;70516;37755;4987;120190;70015;103296;101765;99206;130439;75144;83849;18318;115090;120219;90012;105376;113569;18344;427;120236;56747;11182;61880;9662;16318;14782;47556;126918;106442;16330;93133;13777;123349;53206;85464;28125;75744;100832;69603;22500;89574;60393;118761;77290;11756;37367;79865;97788,0.711171019873013,1974358,GitHub
swh:1:ori:034f35f4f4c645746ac8a1b6d484f7f6c3020e9a,https://pypi.org/project/configobj/,12,2014-08-26 01:16:32,2077,3,48058;129500;134255,0.3333333333333335,141066,PyPI
swh:1:ori:0395a73d06d14e29231bb305ce23946449a7e4d8,https://pypi.org/project/lockfile/,5,2015-11-25 18:29:58,824,2,46753;65988,0.10000000000000009,82748,PyPI
swh:1:ori:0398478c24dfea39e367eb7face6e45149bc7eff,https://pypi.org/project/html5lib/,20,2017-12-07 14:43:03,2126,1,38221,0.0,5915279,PyPI
swh:1:ori:03fc1037e2de4224eb6e23766e3762c7d9debb7c,https://gitlab.com/radek-sprta/python-cookiecutter.git,21,2018-04-05 17:05:27,71,1,109214,0.0,22592,GitLab
swh:1:ori:0412c632ff997dca217b23e32e2044cd23c3f092,https://pypi.org/project/zipp/,3,2018-11-16 00:22:53,0,1,35934,0.0,11736,PyPI
swh:1:ori:0414a2890f8692fb63374be4dd8af893038c29b6,https://pypi.org/project/oslo.i18n/,50,2019-02-28 18:09:49,1701,2,66328;46753,0.48,175374,PyPI
swh:1:ori:042878fc990d317c70941129b842ed34c5d26b86,https://github.com/encode/apistar,748,2018-08-17 16:19:31,521,87,60934;28169;76809;9236;4123;26145;133156;74284;123949;132141;22583;60472;25669;114757;16971;88659;113758;87659;18042;97403;5758;35461;77959;89736;127113;44682;31886;89232;1693;26272;82603;105463;79545;61641;77530;135386;26847;104176;4850;126196;46328;39672;25851;93955;7941;28934;82196;117031;20275;34106;86332;118592;104277;26453;92526;43376;39797;77706;1933;127373;98704;48535;29596;23453;50078;102821;126888;57768;82347;124332;101805;6571;15791;43440;106929;121789;75712;133060;62932;91607;23511;89574;115690;29675;8690;36343;135679,0.8305980699489826,4275465,GitHub
